country,origin,system,status,url
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/NfqgFR94/h65.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/CxhxWtzf/f7.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/k4j0tnJS/488.png
NA,Soviet Union,T-72B,abandoned,https://i.postimg.cc/gc14s4Fb/a2.png
NA,Russia,T-72B Obr. 1989,abandoned,https://i.postimg.cc/sgntV80G/44fss.png
NA,Russia,T-72B3,abandoned,https://i.postimg.cc/63JZBWDQ/b76.png
NA,Russia,T-72B3 Obr. 2016,captured,https://i.postimg.cc/pV5ZRVDR/5548.png  
NA,Soviet Union,T-80BV,captured,https://i.postimg.cc/bvVkFC2H/Screenshot-8472.png
NA,Soviet Union,T-64BV,abandoned,https://i.postimg.cc/CxMBs7WF/436.png
NA,Soviet Union,T-72A,captured,https://i.postimg.cc/MG0ThV5C/335.png
NA,Soviet Union,T-64BV,captured,https://i.postimg.cc/Yq5q4HcW/88kj.png 
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/FKPZs7Ws/874.png
NA,Soviet Union,T-72A,abandoned,https://i.postimg.cc/Qdw6LXPV/98u.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/gjrp8521/553.jpg
NA,Soviet Union,T-72A,damaged,https://i.postimg.cc/jSgsKMn3/g553.jpg
NA,Soviet Union,T-72AV,abandoned,https://i.postimg.cc/TY9CCkH1/h6n.jpg
NA,Soviet Union,T-72B,captured,https://i.postimg.cc/hG5hhQJp/59.png
NA,Russia,T-72B Obr. 1989,captured,https://i.postimg.cc/kgBKhrFT/884.png
NA,Russia,T-72B3,captured,https://i.postimg.cc/SxdymMYS/f432.png
NA,Soviet Union,T-64BV,captured,https://i.postimg.cc/pXBzH5Qc/554.png
NA,Soviet Union,T-72A,damaged,https://i.postimg.cc/q7W198PZ/f431.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/xT3kGN3J/f48.png
NA,Soviet Union,T-72A,captured,https://i.postimg.cc/tgYSCmW7/g76.png
NA,Soviet Union,T-72AV,captured,https://i.postimg.cc/J7kqnFJ0/ff2v.jpg 
NA,Soviet Union,T-64BV,captured,https://i.postimg.cc/7hbYn7qH/124.png
NA,Soviet Union,T-72A,captured,https://i.postimg.cc/L8T3s9yL/57.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/FzfBpQX5/br1.jpg
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/kM6Cw0cg/br2.jpg
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/d31jmRdh/77690.jpg
NA,Soviet Union,T-72B,destroyed,https://i.postimg.cc/KvqgC9sz/o9.png
NA,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/9FMZcjhj/c7.png
NA,Russia,T-72B3,destroyed,https://i.postimg.cc/QdK7WkC4/c6.png
NA,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/bvF6gtDB/63.jpg
NA,Soviet Union,T-80BV,destroyed,https://i.postimg.cc/7hrBH0XB/dg.png
NA,Russia,T-80U,destroyed,https://i.postimg.cc/TwswzQQW/f69.png
NA,Soviet Union,T-64BV,destroyed,https://i.postimg.cc/Fs4CpZw6/665h.png
NA,Soviet Union,T-72A,destroyed,https://i.postimg.cc/nhwF3St9/96.png
NA,Soviet Union,T-72AV,destroyed,https://i.postimg.cc/CLjRn2mS/59.png
NA,Soviet Union,T-72B,destroyed,https://i.postimg.cc/NMzzCDvd/4331.png
NA,Russia,T-72B Obr. 1989,destroyed,https://i.postimg.cc/76JL8hdw/at1.png
NA,Russia,T-72B3,destroyed,https://i.postimg.cc/HLcmjK2t/at2.png
NA,Russia,T-72B3 Obr. 2016,destroyed,https://i.postimg.cc/tCqHF7kJ/at3.png
NA,Soviet Union,T-80BV,destroyed,https://i.postimg.cc/kGTN1hXj/3gj.png
NA,Russia,T-80U,destroyed,https://i.postimg.cc/5N5fZdwK/4dh.png
NA,Russia,T-80UK,destroyed,https://i.postimg.cc/Sx6dtt0k/468p.png
NA,Russia,T-80BVM,captured,https://i.postimg.cc/pXJJrNhR/bj.png
