country,origin,system,status,url
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/52P7zGLB/654.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/D0fPPSmY/658.png
Russia,Soviet Union,MT-LB,destroyed,https://twitter.com/UAWeapons/status/1498757622211784707
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/nLRctZ4r/d6.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/W4x4DFVB/54.jpg
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/x86mN0TW/c13.jpg
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/CxNSkmyp/763.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/66k6rQ9g/d17.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/y6m6zVCB/525.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/prBcbgMK/4131.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/gJ24TR94/457.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/kg4dJZ3y/23.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/XNTmHGBK/t1.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/GmRNRWQH/t2.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/zGgWXzC8/m1.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/j5vFZVn2/86.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/RZ2hwWLF/3d5.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/tR5r7YLG/4f.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/Hn8wz5qv/51.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/23p4Kymk/t5.png
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/QNFfrp3V/332.jpg
Russia,Soviet Union,MT-LB,destroyed,https://i.postimg.cc/xCyC3R9P/7ip.png
Russia,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/GpG26n3R/446.png
Russia,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/Y21qgqY7/7766.jpg
Russia,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/mkwsnkyF/433.png
Russia,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/1z6127Wh/h54.png
Russia,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/vHYqqTjM/544.png
Russia,Soviet Union,MT-LB,abandoned,https://i.postimg.cc/yNdpdVtm/d1.png
